Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author
/junit-4.12-sources.jar-extract/junit/textui/ResultPrinter.java,file,ResultPrinter.java,ResultPrinter,.java,4065,2014-12-04,e351e6be391a32b48b8df3f2fba299f66a6429a1,d1d9c44e3b96bd25625801750f50f258,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/textui/TestRunner.java,file,TestRunner.java,TestRunner,.java,5872,2014-12-04,d5f4268fccf88e9b63413e3d45aa7fb9b29e0fdb,5a06dbece103a7633fdb808e1caaf920,text/x-c,"C source, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/META-INF/,directory,META-INF,META-INF,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/META-INF/MANIFEST.MF,file,MANIFEST.MF,MANIFEST,.MF,126,2014-12-04,120d67a61e7fa24cb415a73a5818bc08dd9d09b5,40098108b883d545526d3cc17361cab0,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/,directory,org,org,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,168,26,489369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/,directory,junit,junit,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,168,25,489369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/After.java,file,After.java,After,.java,1290,2014-12-04,3f337d1ea2e6ecc81376a7419ca6ab5537dae698,62d85b462aebaba8bc93811495cc1c8a,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/AfterClass.java,file,AfterClass.java,AfterClass,.java,1440,2014-12-04,90d513e4c6f43ecd4d104cf545a0343b932f856d,4bd82ee097a8236a436f0c02edb562c1,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/Assert.java,file,Assert.java,Assert,.java,36602,2014-12-04,7461f1dba60b3ea7e977a3b48a848cd1fb8a2756,d35c75d139ad5e1dc6a4b600ac0dfba8,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/Assume.java,file,Assume.java,Assume,.java,5955,2014-12-04,d845d8c64a4cfc74d75c5a40009322aca7d7ce91,84412aa7fba56d62ff6e1eba205553cf,text/html,"HTML document, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
