Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,author,copyright_holder
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function13.scala,file,Function13.scala,Function13,.scala,2244,2018-08-28,939144d9042aeb3bcc8f3e8e6aa9fafe0143bcf4,5316981d0c74b38a125e10ebdf941b29,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function13.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function14.scala,file,Function14.scala,Function14,.scala,2322,2018-08-28,508987975db407833a2ee1ad1ca5dc2039594d3a,bacd8168f30541deca6b49996b02ea56,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function14.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function15.scala,file,Function15.scala,Function15,.scala,2400,2018-08-28,5a03cb6e62faa8d28fb12f0bcee0cc0bb331716d,fea0593f6501e3d8fd702fea569b89c6,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function15.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function16.scala,file,Function16.scala,Function16,.scala,2478,2018-08-28,48f7fcb9b784b0008683e4f2d3335592404c9d95,b4acc9eb4ebdbb157aa4251ff744e2e6,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function16.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function17.scala,file,Function17.scala,Function17,.scala,2556,2018-08-28,ce1238d01c1fa7b4cbf6ada34462bd12610b62e5,47777a0b69c2b3c39fffac68bd279d7a,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function17.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function18.scala,file,Function18.scala,Function18,.scala,2634,2018-08-28,25b0bb4763ae2049f5ca7cadf28e4eaee1beedf3,bac49c39bd8a0e19499a588907773670,text/plain,"ASCII text, with very long lines",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function18.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function19.scala,file,Function19.scala,Function19,.scala,2712,2018-08-28,f8cf5094d18b59296ee2a0d44608f291dbc262f1,53b07be0bebce0839e89aa81588aa7ef,text/plain,"ASCII text, with very long lines",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function19.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function2.scala,file,Function2.scala,Function2,.scala,2052,2018-08-28,82643b22d080fdb86bc11c9e3803aa7f2c8f534a,b568d8d94478fbe4ed1b523dea61bb45,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function2.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
