Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author,start_line,end_line,copyright,copyright_holder
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/syntax.rb,file,syntax.rb,syntax,.rb,4745,2018-10-09,a663b7e336768def78fd058a3f7a35f599c4b3ba,2d7872b3a6218783b72a502791a91d4c,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/version.rb,file,version.rb,version,.rb,110,2018-10-09,ee5498ad2486bc2ad770d55fc41b100a8bcaee00,c4383a624630a63c5f874a438c27bd9e,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/,directory,matchers,matchers,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,37,1,167153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/aliased_matcher.rb,file,aliased_matcher.rb,aliased_matcher,.rb,4267,2018-10-09,b8683a7dc869099f10a56d14c0f70b7c164bea71,3460d1ed42bd74975d2122b99d592f3e,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/built_in.rb,file,built_in.rb,built_in,.rb,3334,2018-10-09,2a16ae177f5b5e2fa6711c954f995f61dc6de754,e5d41e2b9d93b14d8f16c2549cf637b2,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/composable.rb,file,composable.rb,composable,.rb,6341,2018-10-09,d182bb42807ed2ff0923fd89a07babfafd7231a0,22157792f657af4145df1e95aa4ae72d,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/dsl.rb,file,dsl.rb,dsl,.rb,21577,2018-10-09,7bd4c37fb8617da2a19b19c291eae7dd7fcf49a9,c70a5da9c889de22076d950844ca7d39,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/english_phrasing.rb,file,english_phrasing.rb,english_phrasing,.rb,1845,2018-10-09,a11b21c55032b26728137e6dff5cd270e2840e39,2a1526117b35a611e49529d883605942,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/expecteds_for_multiple_diffs.rb,file,expecteds_for_multiple_diffs.rb,expecteds_for_multiple_diffs,.rb,2377,2018-10-09,ffca7658a7431ff1c73bc0e7b803ed49cda57c58,aa6110889cf0ad21886b2c4b489d8ffe,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/fail_matchers.rb,file,fail_matchers.rb,fail_matchers,.rb,1267,2018-10-09,dbd768bb80136e2e710a4b2e44c7b8a418629651,899d1fdfc56ed7393c90126f9831f436,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/generated_descriptions.rb,file,generated_descriptions.rb,generated_descriptions,.rb,1196,2018-10-09,e7a2ef4c9da8033abd4e4fe46030bb7b6fb2e2ac,b3b72e591ddbc7f1c054af748d481922,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers/matcher_delegator.rb,file,matcher_delegator.rb,matcher_delegator,.rb,852,2018-10-09,d9c6d834d057e84aa4f0b5b43052a6a55a71cd37,830544b63ddffdaf021f0b7af8a2ceef,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
