"download_url","type","namespace","name","version","qualifier","provider","has_all_spdx_licenses","has_consistent_key_and_file_level_license","has_all_license_texts","score","has_top_level_declared_licenses","file_level_license_and_copyright_coverage","Errors"
"https://files.pythonhosted.org/packages/f0/de/b0b5b98c0f38fd7086d082c47fcb455eedd39a044abe7c595f5f40cd6eed/testscenarios-0.5.0.tar.gz","pypi",,"testscenarios","0.5.0",,"pypi","True","True","True","85","True","0.4074074074074074",
"https://files.pythonhosted.org/packages/95/7a/807ac21749ecd26ae3337c3069ed6ac8658b9fbc85f109e419a812b18ab7/retry_decorator-1.1.0.tar.gz","pypi",,"retry-decorator","1.1.0",,"pypi","True","True","True","85","True","0.4",
"https://registry.npmjs.org/jest/-/jest-23.6.0.tgz","npm",,"jest","23.6.0",,"npmjs","True","True","False","85","True","1.0",
"https://registry.npmjs.org/babel-jest/-/babel-jest-23.6.0.tgz","npm",,"babel-jest","23.6.0",,"npmjs","True","True","False","85","True","1.0",
"https://registry.npmjs.org/vuex/-/vuex-3.0.1.tgz","npm",,"vuex","3.0.1",,"npmjs","True","True","True","85","True","0.4",
"https://registry.npmjs.org/angular/-/angular-1.7.5.tgz","npm",,"angular","1.7.5",,"npmjs","True","True","True","85","True","0.42857142857142855",
"https://registry.npmjs.org/regenerator-runtime/-/regenerator-runtime-0.12.1.tgz","npm",,"regenerator-runtime","0.12.1",,"npmjs","True","True","False","85","True","1.0",
"https://registry.npmjs.org/assert/-/assert-1.4.1.tgz","npm",,"assert","1.4.1",,"npmjs","True","True","True","85","True","0.4",
"https://registry.npmjs.org/node-cache/-/node-cache-4.2.0.tgz","npm",,"node-cache","4.2.0",,"npmjs","True","True","True","85","True","0.4",
"https://registry.npmjs.org/jest-resolve/-/jest-resolve-23.6.0.tgz","npm",,"jest-resolve","23.6.0",,"npmjs","True","True","False","85","True","1.0",
"https://files.pythonhosted.org/packages/8d/ee/e9ecce4c32204a6738e0a5d5883d3413794d7498fe8b06f44becc028d3ba/dockerpty-0.4.1.tar.gz","pypi",,"dockerpty","0.4.1",,"pypi","True","True","True","84","True","0.36363636363636365",
